,1985,1995,2005,2015,2018
569,165.0,100.0,57.0,0.0,13.0
570,92,70,108,57,64
571,117.0,82.0,65.0,72.0,68.0
1134,,,,63.0,95.0
572,73.0,98.0,133.0,71.0,61.0
1215,,,,,
573,102.0,91.0,66.0,25.0,49.0
574,,125.0,132.0,55.0,46.0
575,71.0,126.0,225.0,2.0,2.0
1112,,,,,
576,91.0,119.0,77.0,107.0,105.0
577,104.0,125.0,76.0,84.0,127.0
1006,,,100.0,7.0,48.0
578,120.0,107.0,62.0,93.0,122.0
1056,,,125.0,85.0,78.0
579,119.0,105.0,130.0,70.0,79.0
580,144.0,136.0,160.0,69.0,78.0
582,152.0,82.0,135.0,13.0,46.0
947,163.0,149.0,144.0,88.0,158.0
1131,,,,,
583,,0.0,78.0,48.0,0.0
584,183.0,37.0,36.0,0.0,90.0
1047,,,109.0,86.0,88.0
1242,,,,,
585,99.0,104.0,84.0,105.0,163.0
586,110.0,111.0,132.0,97.0,60.0
587,66.0,113.0,164.0,34.0,37.0
588,115.0,85.0,50.0,81.0,124.0
589,113.0,116.0,115.0,73.0,51.0
590,,100.0,77.0,86.0,154.0
591,118.0,96.0,32.0,0.0,128.0
1261,,,,,
1123,,,,,
592,125.0,153.0,192.0,48.0,26.0
1001,,,122.0,51.0,67.0
1016,,,51.0,0.0,54.0
593,,131.0,279.0,42.0,4.0
594,130.0,91.0,38.0,40.0,97.0
595,650.0,17.0,50.0,0.0,0.0
596,,113.0,119.0,71.0,49.0
597,93.0,87.0,96.0,115.0,121.0
1118,,,,,
940,,,100.0,71.0,69.0
599,,99.0,22.0,14.0,47.0
600,135.0,98.0,55.0,65.0,120.0
601,100.0,130.0,67.0,84.0,71.0
972,,,91.0,73.0,60.0
602,,90.0,83.0,99.0,85.0
603,95.0,118.0,74.0,97.0,141.0
604,100.0,68.0,36.0,111.0,191.0
605,185.0,32.0,38.0,25.0,66.0
606,91.0,132.0,53.0,78.0,106.0
1069,,,,,
607,116.0,103.0,93.0,100.0,90.0
608,221.0,0.0,21.0,26.0,62.0
609,103.0,148.0,88.0,77.0,129.0
610,101.0,82.0,82.0,96.0,62.0
612,123.0,106.0,111.0,61.0,46.0
905,,106.0,162.0,57.0,42.0
613,144.0,83.0,26.0,37.0,145.0
614,264.0,140.0,36.0,0.0,79.0
615,79,155,137,46,28
616,,,,,
999,,,,,
617,220.0,126.0,164.0,54.0,21.0
1096,,,,89.0,
618,132.0,127.0,160.0,70.0,59.0
1040,,,92.0,88.0,54.0
619,129.0,88.0,44.0,12.0,65.0
1048,,,203.0,77.0,13.0
1003,,118.0,104.0,0.0,64.0
620,109.0,123.0,69.0,94.0,116.0
897,,57.0,6.0,0.0,126.0
1196,,,,,
914,,,158.0,130.0,23.0
621,97.0,120.0,150.0,55.0,40.0
622,,140.0,182.0,62.0,48.0
1011,,,25.0,24.0,127.0
623,,83.0,41.0,48.0,122.0
937,,,87.0,104.0,58.0
624,136.0,108.0,158.0,77.0,62.0
1014,,,72.0,102.0,77.0
625,108.0,171.0,58.0,124.0,86.0
626,125.0,157.0,334.0,66.0,57.0
1079,,,,,
627,110.0,107.0,67.0,100.0,152.0
628,,102.0,134.0,66.0,60.0
1084,,,,,
629,114.0,136.0,144.0,89.0,59.0
631,,114.0,152.0,56.0,50.0
632,,151.0,159.0,72.0,62.0
633,,103.0,132.0,28.0,38.0
634,131.0,118.0,119.0,76.0,74.0
949,148.0,150.0,160.0,113.0,208.0
635,93.0,107.0,77.0,111.0,182.0
1124,,,,,
636,88.0,137.0,82.0,114.0,101.0
638,93.0,99.0,63.0,111.0,120.0
1035,,,93.0,0.0,49.0
637,100.0,122.0,51.0,71.0,62.0
639,120.0,109.0,65.0,92.0,98.0
640,245.0,160.0,240.0,43.0,40.0
1125,,,,,
642,84.0,140.0,28.0,46.0,107.0
643,104.0,200.0,261.0,49.0,54.0
989,,,30.0,33.0,80.0
644,,110.0,32.0,41.0,102.0
645,114.0,95.0,54.0,56.0,109.0
646,,127.0,63.0,122.0,148.0
647,125.0,101.0,49.0,75.0,96.0
648,,111.0,39.0,3.0,111.0
898,,64.0,0.0,0.0,83.0
